Start,End,Count
King's Cross St. Pancras,Oxford Circus,46
Waterloo LU,Oxford Circus,41
Tottenham Court Road,Green Park,37
Bank and Monument,King's Cross St. Pancras,33
Paddington TfL,Oxford Circus,32
Tottenham Court Road,King's Cross St. Pancras,32
King's Cross St. Pancras,Bank and Monument,32
Oxford Circus,King's Cross St. Pancras,31
King's Cross St. Pancras,Tottenham Court Road,30
Victoria LU,Tottenham Court Road,30
Tottenham Court Road,Euston LU,30
Tottenham Court Road,Oxford Circus,29
Farringdon,Bank and Monument,29
King's Cross St. Pancras,Liverpool Street LU,29
Victoria LU,Leicester Square,29
Farringdon,King's Cross St. Pancras,29
Victoria LU,Waterloo LU,29
Oxford Circus,Tottenham Court Road,29
King's Cross St. Pancras,Bond Street,28
Euston LU,Tottenham Court Road,28
Tottenham Court Road,Bank and Monument,27
Waterloo LU,Bank and Monument,27
Victoria LU,Oxford Circus,26
Leicester Square,Green Park,26
Waterloo LU,Green Park,25
London Bridge LU,Green Park,25
King's Cross St. Pancras,Green Park,25
North Greenwich,Stratford,24
Leicester Square,Tottenham Court Road,24
Leicester Square,Bank and Monument,24
